ProteinID	ProteinPhase	TranscriptPhase	Annotation
ostta06g01530	0.2	15.2	 Serine/threonine-protein kinase, active site
ostta06g01800	20.9	18.9	 Ribosomal protein L4/L1e n/a  Ribosomal protein L4/L1e
ostta06g01830	23.2	21.7	 Oxoglutarate/iron-dependent dioxygenase
ostta06g02310	9	13.5	 Glutathione S-transferase, N-terminal
ostta06g02480	14.7	19.8	 2-oxoglutarate dehydrogenase, E1 component n/a  2-oxoglutarate dehydrogenase, E
ostta06g03200	16.5	16.2	 Acylneuraminate cytidylyltransferase
ostta06g03780	5.4	23.6	 U2 auxiliary factor small subunit
ostta06g03910	4.2	21.5	 unnamed product
ostta07g00230	9.3	9.7	 DnaJ domain
ostta07g00500	6.3	4.7	 Carbohydrate binding module family 25
ostta07g01390	19.3	16.4	 Protein of unknown function DUF227
ostta07g01560	20.7	13.5	 ResB-like domain n/a  ResB-like domain
ostta07g02270	20.8	12.4	 Leucine-rich repeat n/a  Leucine-rich repeat
ostta07g02810	23.3	6.4	 6-phosphogluconolactonase, DevB-type
ostta07g03790	5	20.9	 Ribosomal protein S16 domain n/a  Ribosomal protein S16 domain
ostta07g04150	7.3	20.3	 Ribosomal protein S21e n/a  Ribosomal protein S21e n/a  Ribosomal protein S21e
ostta07g04360	0.8	22.2	 Ribosomal protein L10/L12
ostta08g00140	0.7	21.1	 Tetratricopeptide repeat n/a  Tetratricopeptide repeat
ostta08g00970	14.6	14.6	  n/a  hypothetical protein
ostta08g04260	22	21.7	 Methylenetetrahydrofolate reductase
ostta09g00280	21.7	15.2	 Helix-turn-helix, base-excision DNA repair, C-terminal n/a  Helix-turn-helix, bA repair, C-terminal
ostta09g00400	11.8	22.9	 Helix-turn-helix, base-excision DNA repair, C-terminal n/a  Helix-turn-helix, bA repair, C-terminal
ostta09g01090	11.7	22.7	 Zinc/iron permease
ostta09g01440	2.8	4.9	 Pseudouridine synthase I, TruA, N-terminal n/a  Pseudouridine synthase I, TruA,
ostta09g01480	11.4	18.8	 Protein of unknown function DUF3493
ostta09g01495	16.5	16.5	 Serine/threonine-protein kinase, active site
ostta09g02350	6.6	22.8	 Argininosuccinate synthase
ostta09g02370	7.9	17.7	 Conserved oligomeric Golgi complex subunit 5 n/a  Conserved oligomeric Golgi co
ostta09g02400	2.6	18.8	 Flavoprotein pyridine nucleotide cytochrome reductase n/a  Flavoprotein pyridintochrome reductase
ostta09g02590	11.8	23.5	 GUN4-like
ostta10g00600	19.6	18.6	 Molybdopterin biosynthesis MoaE
ostta10g01190	19.2	10.4	 Quinonprotein alcohol dehydrogenase-like superfamily
ostta10g01705	20.4	16.5	 unnamed product
ostta10g01830	5.2	22.9	 Tetratricopeptide repeat
ostta10g02190	4.7	17.2	 P-loop containing nucleoside triphosphate hydrolase
ostta10g02200	19	19	 Serine/threonine-protein kinase, active site
ostta10g02360	4.7	18.2	 DEK, C-terminal
ostta10g02380	6.1	12.4	 Ribosomal protein L46
ostta10g02430	23.3	19.1	 WD40 repeat
ostta10g03290	16	21.6	 Putative ParB-like nuclease n/a  Putative ParB-like nuclease
ostta10g03435	16.4	9.8	 Nucleotide-binding, alpha-beta plait
ostta11g00210	4.4	21.6	 Phospholipid/glycerol acyltransferase
ostta11g00280	8.3	21.5	 Rubredoxin-type fold n/a  Rubredoxin-type fold
ostta11g01110	6	20.4	 Transaldolase
ostta11g01230	2.6	15.1	 Clp protease proteolytic subunit /Translocation-enhancing protein TepA
ostta11g01410	17.5	14.9	 Polyprenyl synthetase
ostta11g01915	4.4	19.2	 Cytochrome c/c1 haem-lyase
ostta11g02090	5.6	1.3	 unnamed product
ostta11g02450	22.1	18	 IKI3
ostta11g03250	20.4	13.6	 P-loop containing nucleoside triphosphate hydrolase
ostta12g00870	4.3	12.6	 Alpha/beta hydrolase fold-1
ostta12g01540	10.8	15.5	 Mycolic acid cyclopropane synthase
ostta12g01700	17.9	23	 DNA methylase, N-6 adenine-specific, conserved site
ostta12g01950	16.3	14.6	 Snf7
ostta12g02485	3.3	12.9	 Citrate synthase-like, small alpha subdomain
ostta12g02500	22.1	13.4	 Helicase, C-terminal
ostta12g02650	8.8	21.3	 Protein of unknown function DUF3411, plant
ostta12g02690	6.8	3.4	 DeoxyUTP pyrophosphatase n/a  DeoxyUTP pyrophosphatase
ostta13g00440	13.4	18.5	 P-loop containing nucleoside triphosphate hydrolase
ostta13g00660	14.8	18.6	 Glutamine amidotransferase subunit PdxT n/a  Glutamine amidotransferase subunit
ostta13g00740	6.8	16.1	 Rossmann-like alpha/beta/alpha sandwich fold
ostta13g00750	4.2	19.2	 GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1
ostta13g00820	7.5	16.4	 RNA-binding protein Lupus La
ostta13g01440	9.2	23.9	 Domain of unknown function DUF262
ostta13g01520	10	16.4	 Inositol monophosphatase, conserved site n/a  Inositol monophosphatase, conserv
ostta13g02100	18.3	20.2	 unnamed product
ostta14g00980	10.4	15.7	 K Homology domain, type 1
ostta14g01075	14	1.5	 Glycosyl transferase, family 1
ostta14g01140	5.1	18.6	 Formate-tetrahydrofolate ligase, FTHFS
ostta14g01550	16.9	13	  n/a  unnamed product
ostta14g02700	16.4	14.1	 unnamed product
ostta14g02750	11.6	18.2	 Orn/DAP/Arg decarboxylase 2, N-terminal
ostta14g02980	8.7	12.3	 NAD-dependent epimerase/dehydratase
ostta15g00130	21.3	21.1	 Serine/threonine-specific protein phosphatase/bis5-nucleosyl-tetraphosphatase
ostta15g00340	20.3	17.8	 TRAPP III complex, Trs85
ostta15g00620	9.9	0	 Replication factor A, C-terminal n/a  Replication factor A, C-terminal
ostta15g00950	22.5	18.2	 Methyltransferase type 11
ostta15g01730	18.3	21.7	 HSP20-like chaperone
ostta15g01820	0.9	17.4	 unnamed product
ostta15g02410	19.3	15.1	 unnamed product
ostta16g00470	10.7	20.5	 unnamed product
ostta16g01010	6	21.3	 Metalloenzyme, LuxS/M16 peptidase-like
ostta16g01590	6.6	0.7	 Peroxisomal biogenesis factor 11
ostta16g02025	2.5	22.4	 Legume lectin, beta chain, Mn/Ca-binding site
ostta17g01030	5.5	10.6	 Methylthiotransferase/radical SAM-type protein
ostta17g01450	0.1	0.7	 ARP2/3 complex, 21kDa subunit p21-Arc
ostta17g02370	16.7	10.7	 Calcium/calmodulin-dependent/calcium-dependent protein kinase
